verbose name,date,count_in
Room - Swanston St Foyer State Library Victoria,2022-06-10,7634
Room - Swanston St Foyer State Library Victoria,2022-06-11,9961
Room - Swanston St Foyer State Library Victoria,2022-06-12,10835
Room - TIC State Library Victoria,2022-06-06,5608
Room - TIC State Library Victoria,2022-06-07,6151
Room - TIC State Library Victoria,2022-06-08,5563
Room - TIC State Library Victoria,2022-06-09,6219
Room - TIC State Library Victoria,2022-06-10,6162
Room - TIC State Library Victoria,2022-06-11,8378
Room - TIC State Library Victoria,2022-06-12,9172
Room - TIC and Quarters State Library Victoria,2022-06-06,4886
Room - TIC and Quarters State Library Victoria,2022-06-07,5072
Room - TIC and Quarters State Library Victoria,2022-06-08,5023
Room - TIC and Quarters State Library Victoria,2022-06-09,4865
Room - TIC and Quarters State Library Victoria,2022-06-10,5378
Room - TIC and Quarters State Library Victoria,2022-06-11,6824
Room - TIC and Quarters State Library Victoria,2022-06-12,7179
Room - Victoria Gallery State Library Victoria,2022-06-06,81
Room - Victoria Gallery State Library Victoria,2022-06-07,81
Room - Victoria Gallery State Library Victoria,2022-06-08,62
Room - Victoria Gallery State Library Victoria,2022-06-09,38
Room - Victoria Gallery State Library Victoria,2022-06-10,152
Room - Victoria Gallery State Library Victoria,2022-06-11,0
Room - Victoria Gallery State Library Victoria,2022-06-12,3
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-06,0
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-07,0
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-08,0
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-09,0
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-10,0
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-11,0
Room- L4 Dome Gallery NEW State Library Victoria,2022-06-12,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-06,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-07,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-08,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-09,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-10,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-11,0
Room-Overall Dome Gallery Entry State Library Victoria,2022-06-12,0
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-06,763
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-07,857
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-08,819
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-09,796
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-10,939
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-11,1334
Sensor - Latrobe reading room Mezz entry State Library Victoria,2022-06-12,1512
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-06,127
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-07,234
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-08,205
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-09,205
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-10,183
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-11,154
Sensor 10a - North Link L2/Information Centre State Library Victoria,2022-06-12,103
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-06,126
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-07,341
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-08,264
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-09,314
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-10,385
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-11,137
Sensor 10b - La Trobe St Entry 3 State Library Victoria,2022-06-12,92
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-06,716
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-07,661
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-08,734
Sensor 11.1 - Info Centre/East Link L2 State Library Victoria,2022-06-09,720
